name,trait
seq_0264,swine
seq_0265,swine
seq_0266,swine
seq_0267,swine
seq_0268,swine
seq_0269,swine
seq_0270,swine
seq_0271,swine
seq_0272,swine
seq_0273,swine
seq_0274,swine
seq_0275,swine
seq_0276,swine
seq_0277,swine
seq_0278,swine
seq_0279,swine
seq_0280,swine
seq_0281,swine
seq_0282,swine
seq_0283,swine
seq_0284,swine
seq_0285,swine
seq_0286,swine
seq_0287,swine
seq_0288,swine
seq_0289,swine
seq_0290,swine
seq_0291,swine
seq_0292,swine
seq_0293,swine
seq_0294,swine
seq_0295,swine
seq_0296,swine
seq_0297,swine
seq_0298,swine
seq_0299,swine
seq_0300,swine
seq_0301,swine
seq_0302,swine
seq_0303,swine
seq_0304,swine
seq_0305,swine
seq_0306,swine
seq_0307,swine
seq_0308,swine
seq_0309,swine
seq_0310,swine
seq_0311,swine
seq_0312,swine
seq_0313,swine
seq_0314,swine
seq_0315,swine
seq_0316,swine
seq_0317,swine
seq_0318,swine
seq_0319,swine
seq_0320,swine
seq_0321,swine
seq_0322,swine
seq_0323,swine
seq_0324,swine
seq_0325,swine
seq_0326,swine
seq_0327,swine
seq_0328,swine
seq_0329,swine
seq_0330,swine
seq_0331,swine
seq_0332,swine
seq_0333,swine
seq_0334,swine
seq_0335,swine
seq_0336,swine
seq_0337,swine
seq_0338,swine
seq_0339,swine
seq_0340,swine
seq_0341,swine
seq_0342,swine
seq_0343,swine
seq_0344,swine
seq_0345,swine
seq_0346,swine
seq_0347,swine
seq_0348,swine
seq_0349,swine
seq_0350,swine
seq_0351,swine
seq_0352,swine
seq_0353,swine
seq_0354,swine
seq_0355,swine
seq_0356,swine
seq_0357,swine
seq_0358,swine
seq_0359,swine
seq_0360,swine
seq_0361,swine
seq_0362,swine
seq_0363,swine
seq_0364,swine
seq_0365,swine
seq_0366,swine
seq_0367,swine
seq_0368,swine
seq_0369,swine
seq_0370,swine
seq_0371,swine
seq_0372,swine
seq_0373,swine
seq_0374,swine
seq_0375,swine
seq_0376,swine
seq_0377,swine
seq_0378,swine
seq_0379,swine
seq_0380,swine
seq_0381,swine
seq_0382,swine
seq_0383,swine
seq_0384,swine
seq_0385,swine
seq_0386,swine
seq_0387,swine
seq_0388,swine
seq_0389,swine
seq_0390,swine
seq_0391,swine
seq_0392,swine
seq_0393,swine
seq_0394,swine
seq_0395,swine
seq_0396,swine
seq_0397,swine
seq_0398,swine
seq_0399,swine
seq_0400,swine
seq_0401,swine
seq_0402,swine
seq_0403,swine
seq_0404,swine
seq_0405,swine
seq_0406,swine
seq_0407,swine
seq_0408,swine
seq_0409,swine
seq_0410,swine
seq_0411,swine
seq_0412,swine
seq_0413,swine
seq_0414,swine
seq_0415,swine
seq_0416,swine
seq_0417,swine
seq_0418,swine
seq_0419,swine
seq_0420,swine
seq_0421,swine
seq_0422,swine
seq_0423,swine
seq_0424,swine
seq_0425,swine
seq_0426,swine
seq_0427,swine
seq_0428,swine
seq_0429,swine
seq_0430,swine
seq_0431,swine
seq_0432,swine
seq_0433,swine
seq_0434,swine
seq_0435,swine
seq_0436,swine
seq_0437,swine
seq_0438,swine
seq_0439,swine
seq_0440,swine
seq_0441,swine
seq_0442,swine
seq_0443,swine
seq_0444,swine
seq_0445,swine
seq_0446,swine
seq_0447,swine
seq_0448,swine
seq_0449,swine
seq_0450,swine
seq_0451,swine
seq_0452,swine
seq_0453,swine
seq_0454,swine
seq_0455,swine
seq_0456,swine
seq_0457,swine
seq_0458,swine
seq_0459,swine
seq_0460,swine
seq_0461,swine
seq_0462,swine
seq_0463,swine
seq_0464,swine
seq_0465,swine
seq_0466,swine
seq_0467,swine
seq_0468,swine
seq_0469,swine
seq_0470,swine
seq_0471,swine
seq_0472,swine
seq_0473,swine
seq_0474,swine
seq_0475,swine
seq_0476,swine
seq_0477,swine
seq_0478,swine
seq_0479,swine
seq_0480,swine
seq_0481,swine
seq_0482,swine
seq_0483,swine
seq_0484,swine
seq_0485,swine
seq_0486,swine
seq_0487,swine
seq_0488,swine
seq_0489,swine
seq_0490,swine
seq_0491,swine
seq_0492,swine
seq_0493,swine
seq_0494,swine
seq_0495,swine
seq_0496,swine
seq_0497,swine
seq_0498,swine
seq_0499,swine
seq_0500,swine
seq_0501,swine
seq_0502,swine
seq_0503,swine
seq_0504,swine
seq_0505,swine
seq_0506,swine
seq_0507,swine
seq_0508,swine
seq_0509,swine
seq_0510,swine
seq_0511,swine
seq_0512,swine
seq_0513,swine
seq_0514,swine
seq_0515,swine
seq_0516,swine
seq_0517,swine
seq_0518,swine
seq_0519,swine
seq_0520,swine
seq_0521,swine
seq_0522,swine
seq_0523,swine
seq_0524,swine
seq_0525,swine
seq_0526,swine
seq_0527,swine
seq_0528,swine
seq_0529,swine
seq_0530,swine
seq_0531,swine
seq_0532,swine
seq_0533,swine
seq_0534,swine
seq_0535,swine
seq_0536,swine
seq_0537,swine
seq_0538,swine
seq_0539,swine
seq_0540,swine
seq_0541,swine
seq_0542,swine
seq_0543,swine
seq_0544,swine
seq_0545,swine
seq_0546,swine
seq_0547,swine
seq_0548,swine
seq_0549,swine
seq_0550,swine
seq_0551,swine
seq_0552,swine
seq_0553,swine
seq_0554,swine
seq_0555,swine
seq_0556,swine
seq_0557,swine
seq_0558,swine
seq_0559,swine
seq_0560,swine
seq_0561,swine
seq_0562,swine
seq_0563,swine
seq_0564,swine
seq_0565,swine
seq_0566,swine
seq_0567,swine
seq_0568,swine
seq_0569,swine
seq_0570,swine
seq_0571,swine
seq_0572,swine
seq_0573,swine
seq_0574,swine
seq_0575,swine
seq_0576,swine
seq_0577,swine
seq_0578,swine
seq_0579,swine
seq_0580,swine
seq_0581,swine
seq_0582,swine
seq_0583,swine
seq_0584,swine
seq_0585,swine
seq_0586,swine
seq_0587,swine
seq_0588,swine
seq_0589,swine
seq_0590,human
seq_0591,human
seq_0592,human
seq_0593,human
seq_0594,human
seq_0595,human
seq_0596,swine
seq_0597,swine
seq_0598,swine
seq_0599,swine
seq_0600,swine
seq_0601,swine
seq_0602,swine
seq_0603,swine
seq_0604,swine
seq_0605,swine
seq_0606,swine
seq_0607,swine
seq_0608,swine
seq_0609,swine
seq_0610,swine
seq_0611,swine
seq_0612,swine
seq_0613,swine
seq_0614,swine
seq_0615,swine
seq_0616,swine
seq_0617,swine
seq_0618,swine
seq_0619,swine
seq_0620,swine
seq_0621,swine
seq_0622,swine
seq_0623,swine
seq_0624,swine
seq_0625,swine
seq_0626,swine
seq_0627,swine
seq_0628,swine
seq_0629,swine
seq_0630,swine
seq_0631,swine
seq_0632,swine
seq_0633,swine
seq_0634,swine
seq_0635,swine
seq_0636,swine
seq_0637,swine
seq_0638,swine
seq_0639,swine
seq_0640,swine
seq_0641,swine
seq_0642,swine
seq_0643,swine
seq_0644,swine
seq_0645,swine
seq_0646,swine
seq_0647,swine
seq_0648,swine
seq_0649,swine
seq_0650,swine
seq_0651,swine
seq_0652,swine
seq_0653,swine
seq_0654,swine
seq_0655,swine
seq_0656,swine
seq_0657,swine
seq_0658,swine
seq_0659,swine
seq_0660,swine
seq_0661,swine
seq_0662,swine
seq_0663,swine
seq_0664,swine
seq_0665,swine
seq_0666,swine
seq_0667,swine
seq_0668,swine
seq_0669,swine
seq_0670,swine
seq_0671,swine
seq_0672,swine
seq_0673,swine
seq_0674,swine
seq_0675,swine
seq_0676,swine
seq_0677,swine
seq_0678,swine
seq_0679,swine
seq_0680,swine
seq_0681,swine
seq_0682,swine
seq_0683,swine
seq_0684,swine
seq_0685,swine
seq_0686,swine
seq_0687,swine
seq_0688,swine
seq_0689,swine
seq_0690,swine
seq_0691,swine
seq_0692,swine
seq_0693,swine
seq_0694,swine
seq_0695,swine
seq_0696,swine
seq_0697,swine
seq_0698,swine
seq_0699,swine
seq_0700,swine
seq_0701,swine
seq_0702,swine
seq_0703,swine
seq_0704,swine
seq_0705,swine
seq_0706,swine
seq_0707,swine
seq_0708,swine
seq_0709,swine
seq_0710,swine
seq_0711,swine
seq_0712,swine
seq_0713,swine
seq_0714,swine
seq_0715,swine
seq_0716,swine
seq_0717,swine
seq_0718,swine
seq_0719,swine
seq_0720,swine
seq_0721,swine
seq_0722,swine
seq_0723,swine
seq_0724,swine
seq_0725,swine
seq_0726,swine
seq_0727,swine
seq_0728,swine
seq_0729,swine
seq_0730,swine
seq_0731,swine
seq_0732,swine
seq_0733,swine
seq_0734,swine
seq_0735,swine
seq_0736,swine
seq_0737,swine
seq_0738,swine
seq_0739,swine
seq_0740,swine
seq_0741,swine
seq_0742,swine
seq_0743,swine
seq_0744,swine
seq_0745,swine
seq_0746,swine
seq_0747,swine
seq_0748,swine
seq_0749,swine
seq_0750,swine
seq_0751,swine
seq_0752,swine
seq_0753,swine
seq_0754,swine
seq_0755,swine
seq_0756,swine
seq_0757,swine
seq_0758,swine
seq_0759,swine
seq_0760,swine
seq_0761,swine
seq_0762,swine
seq_0763,swine
seq_0764,swine
seq_0765,swine
seq_0766,swine
seq_0767,swine
seq_0768,swine
seq_0769,swine
seq_0770,swine
seq_0771,swine
seq_0772,swine
seq_0773,swine
seq_0774,swine
seq_0775,swine
seq_0776,swine
seq_0777,swine
seq_0778,swine
seq_0779,swine
seq_0780,swine
seq_0781,swine
seq_0782,swine
seq_0783,swine
seq_0784,swine
seq_0785,swine
seq_0786,swine
seq_0787,swine
seq_0788,swine
seq_0789,swine
seq_0790,swine
seq_0791,swine
seq_0792,swine
seq_0793,swine
seq_0794,swine
seq_0795,swine
seq_0796,swine
seq_0797,swine
seq_0798,swine
seq_0799,swine
seq_0800,swine
seq_0801,swine
seq_0802,swine
seq_0803,swine
seq_0804,swine
seq_0805,swine
seq_0806,swine
seq_0807,swine
seq_0808,swine
seq_0809,swine
seq_0810,swine
seq_0811,swine
seq_0812,swine
seq_0813,swine
seq_0814,swine
seq_0815,swine
seq_0816,swine
seq_0817,swine
seq_0818,swine
seq_0819,swine
seq_0820,swine
seq_0821,swine
seq_0822,swine
seq_0823,swine
seq_0824,swine
seq_0825,swine
seq_0826,swine
seq_0827,swine
seq_0828,swine
seq_0829,swine
seq_0830,swine
seq_0831,swine
seq_0832,swine
seq_0833,swine
seq_0834,swine
seq_0835,swine
seq_0836,swine
seq_0837,swine
seq_0838,swine
seq_0839,swine
seq_0840,swine
seq_0841,swine
seq_0842,swine
seq_0843,swine
seq_0844,swine
seq_0845,swine
seq_0846,swine
seq_0847,swine
seq_0848,swine
seq_0849,swine
seq_0850,swine
seq_0851,swine
seq_0852,swine
seq_0853,swine
seq_0854,swine
seq_0855,swine
seq_0856,swine
seq_0857,swine
seq_0858,swine
seq_0859,swine
seq_0860,swine
seq_0861,swine
seq_0862,swine
seq_0863,swine
seq_0864,swine
seq_0865,swine
seq_0866,swine
seq_0867,swine
seq_0868,swine
seq_0869,swine
seq_0870,swine
seq_0871,swine
seq_0872,swine
seq_0873,swine
seq_0874,swine
seq_0875,swine
seq_0876,swine
seq_0877,swine
seq_0878,swine
seq_0879,swine
seq_0880,swine
seq_0881,swine
seq_0882,swine
seq_0883,swine
seq_0884,swine
seq_0885,swine
seq_0886,swine
seq_0887,swine
seq_0888,swine
seq_0889,swine
seq_0890,swine
seq_0891,swine
seq_0892,swine
seq_0893,swine
seq_0894,swine
seq_0895,swine
seq_0896,swine
seq_0897,swine
seq_0898,swine
seq_0899,swine
seq_0900,swine
seq_0901,swine
seq_0902,swine
seq_0903,swine
seq_0904,swine
seq_0905,swine
seq_0906,swine
seq_0907,swine
seq_0908,swine
seq_0909,swine
seq_0910,swine
seq_0911,swine
seq_0912,swine
seq_0913,swine
seq_0914,swine
seq_0915,swine
seq_0916,swine
seq_0917,swine
seq_0918,swine
seq_0919,swine
seq_0920,swine
seq_0921,swine
seq_0922,swine
seq_0923,swine
seq_0924,swine
seq_0925,swine
seq_0926,swine
seq_0927,swine
seq_0928,swine
seq_0929,swine
seq_0930,swine
seq_0931,swine
seq_0932,swine
seq_0933,swine
seq_0934,swine
seq_0935,swine
seq_0936,swine
seq_0937,swine
seq_0938,swine
seq_0939,swine
seq_0940,swine
seq_0941,swine
seq_0942,swine
seq_0943,swine
seq_0944,swine
seq_0945,swine
seq_0946,swine
seq_0947,swine
seq_0948,swine
seq_0949,swine
seq_0950,swine
seq_0951,swine
seq_0952,swine
seq_0953,swine
seq_0954,swine
seq_0955,swine
seq_0956,swine
seq_0957,swine
seq_0958,swine
seq_0959,swine
seq_0960,swine
seq_0961,swine
seq_0962,swine
seq_0963,swine
seq_0964,swine
seq_0965,swine
seq_0966,swine
seq_0967,swine
seq_0968,swine
seq_0969,swine
seq_0970,swine
seq_0971,swine
seq_0972,swine
seq_0973,swine
seq_0974,swine
seq_0975,swine
seq_0976,swine
seq_0977,swine
seq_0978,swine
seq_0979,swine
seq_0980,swine
seq_0981,swine
seq_0982,swine
seq_0983,swine
seq_0984,swine
seq_0985,swine
seq_0986,swine
seq_0987,swine
seq_0988,swine
seq_0989,swine
seq_0990,swine
seq_0991,swine
seq_0992,swine
seq_0993,swine
seq_0994,swine
seq_0995,swine
seq_0996,swine
seq_0997,swine
seq_0998,swine
seq_0999,swine
seq_1000,swine
seq_1001,swine
seq_1002,swine
seq_1003,swine
seq_1004,swine
seq_1005,swine
seq_1006,swine
seq_1007,swine
seq_1008,swine
seq_1009,swine
seq_1010,swine
seq_1011,swine
seq_1012,swine
seq_1013,swine
seq_1014,swine
seq_1015,swine
seq_1016,swine
seq_1017,swine
seq_1018,swine
seq_1019,swine
seq_1020,swine
seq_1021,swine
seq_1022,swine
seq_1023,swine
seq_1024,swine
seq_1025,swine
seq_1026,swine
seq_1027,swine
seq_1028,swine
seq_1029,swine
seq_1030,swine
seq_1031,swine
seq_1032,swine
seq_1033,swine
seq_1034,swine
seq_1035,swine
seq_1036,swine
seq_1037,swine
seq_1038,swine
seq_1039,swine
seq_1040,swine
seq_1041,swine
seq_1042,swine
seq_1043,swine
seq_1044,swine
seq_1045,swine
seq_1046,swine
seq_1047,swine
seq_1048,swine
seq_1049,swine
seq_1050,swine
seq_1051,swine
seq_1052,swine
seq_1053,swine
seq_1054,swine
seq_1055,swine
seq_1056,swine
seq_1057,swine
seq_1058,swine
seq_1059,swine
seq_1060,swine
seq_1061,swine
seq_1062,swine
seq_1063,swine
seq_1064,swine
seq_1065,swine
seq_1066,swine
seq_1067,swine
seq_1068,swine
seq_1069,swine
seq_1070,swine
seq_1071,swine
seq_1072,swine
seq_1073,swine
seq_1074,swine
seq_1075,swine
seq_1076,swine
seq_1077,swine
seq_1078,swine
seq_1079,swine
seq_1080,swine
seq_1081,swine
seq_1082,swine
seq_1083,swine
seq_1084,swine
seq_1085,swine
seq_1086,swine
seq_1087,swine
seq_1088,swine
seq_1089,swine
seq_1090,swine
seq_1091,swine
seq_1092,swine
seq_1093,swine
seq_1094,swine
seq_1095,swine
seq_1096,swine
seq_1097,swine
seq_1098,swine
seq_1099,swine
seq_1100,swine
seq_1101,swine
seq_1102,swine
seq_1103,swine
seq_1104,swine
seq_1105,swine
seq_1106,swine
seq_1107,swine
seq_1108,swine
seq_1109,swine
seq_1110,swine
seq_1111,swine
seq_1112,swine
seq_1113,swine
seq_1114,swine
seq_1115,swine
seq_1116,swine
seq_1117,swine
seq_1118,swine
seq_1119,swine
seq_1120,swine
seq_1121,swine
seq_1122,swine
seq_1123,swine
seq_1124,swine
seq_1125,swine
seq_1126,swine
seq_1127,swine
seq_1128,swine
seq_1129,swine
seq_1130,swine
seq_1131,swine
seq_1132,swine
seq_1133,swine
seq_1134,swine
seq_1135,swine
seq_1136,swine
seq_1137,swine
seq_1138,swine
seq_1139,swine
seq_1140,swine
seq_1141,swine
seq_1142,swine
seq_1143,swine
seq_1144,swine
seq_1145,swine
seq_1146,swine
seq_1147,swine
seq_1148,swine
seq_1149,swine
seq_1150,swine
seq_1151,swine
seq_1152,swine
seq_1153,swine
seq_1154,swine
seq_1155,swine
seq_1156,swine
seq_1157,swine
seq_1158,swine
seq_1159,swine
seq_1160,swine
seq_1161,swine
seq_1162,swine
seq_1163,swine
seq_1164,swine
seq_1165,swine
seq_1166,swine
seq_1167,swine
seq_1168,swine
seq_1169,swine
seq_1170,swine
seq_1171,swine
seq_1172,swine
seq_1173,swine
seq_1174,swine
seq_1175,swine
seq_1176,swine
seq_1177,swine
seq_1178,swine
seq_1179,swine
seq_1180,swine
seq_1181,swine
seq_1182,swine
seq_1183,swine
seq_1184,swine
seq_1185,swine
seq_1186,swine
seq_1187,swine
seq_1188,swine
seq_1189,swine
seq_1190,swine
seq_1191,swine
seq_1192,swine
seq_1193,swine
seq_1194,swine
seq_1195,swine
seq_1196,swine
seq_1197,swine
seq_1198,swine
seq_1199,swine
seq_1200,swine
seq_1201,swine
seq_1202,swine
seq_1203,swine
seq_1204,swine
seq_1205,swine
seq_1206,swine
seq_1207,swine
seq_1208,swine
seq_1209,swine
seq_1210,swine
seq_1211,swine
seq_1212,swine
seq_1213,swine
seq_1214,swine
seq_1215,swine
seq_1216,swine
seq_1217,swine
seq_1218,swine
seq_1219,swine
seq_1220,swine
seq_1221,swine
seq_1222,swine
seq_1223,swine
seq_1224,swine
seq_1225,swine
seq_1226,swine
seq_1227,swine
seq_1228,swine
seq_1229,swine
seq_1230,swine
seq_1231,swine
seq_1232,swine
seq_1233,swine
seq_1234,swine
seq_1235,swine
seq_1236,swine
seq_1237,swine
seq_1238,swine
seq_1239,swine
seq_1240,swine
seq_1241,swine
seq_1242,swine
seq_1243,swine
seq_1244,swine
seq_1245,swine
seq_1246,swine
seq_1247,swine
seq_1248,swine
seq_1249,swine
seq_1250,swine
seq_1251,swine
seq_1252,swine
seq_1253,swine
seq_1254,swine
seq_1255,swine
seq_1256,swine
seq_1257,swine
seq_1258,swine
seq_1259,swine
seq_1260,swine
seq_1261,swine
seq_1262,swine
seq_1263,swine
seq_1264,swine
seq_1265,swine
seq_1266,swine
seq_1267,swine
seq_1268,swine
seq_1269,swine
seq_1270,swine
seq_1271,swine
seq_1272,swine
seq_1273,swine
seq_1274,swine
seq_1275,swine
seq_1276,swine
seq_1277,swine
seq_1278,swine
seq_1279,swine
seq_1280,swine
seq_1281,swine
seq_1282,swine
seq_1283,swine
seq_1284,swine
seq_1285,swine
seq_1286,swine
seq_1287,swine
seq_1288,swine
seq_1289,swine
seq_1290,swine
seq_1291,swine
seq_1292,swine
seq_1293,swine
seq_1294,swine
seq_1295,swine
seq_1296,swine
seq_1297,swine
seq_1298,swine
seq_1299,swine
seq_1300,swine
seq_1301,swine
seq_1302,swine
seq_1303,swine
seq_1304,swine
seq_1305,swine
seq_1306,swine
seq_1307,swine
seq_1308,swine
seq_1309,swine
seq_1310,swine
seq_1311,swine
seq_1312,swine
seq_1313,swine
seq_1314,swine
seq_1315,swine
seq_1316,swine
seq_1317,swine
seq_1318,swine
seq_1319,swine
seq_1320,swine
seq_1321,swine
seq_1322,swine
seq_1323,swine
seq_1324,swine
