name,trait
seq_187,swine
seq_188,swine
seq_189,swine
seq_190,swine
seq_191,swine
seq_192,swine
seq_193,swine
seq_194,swine
seq_195,swine
seq_196,swine
seq_197,swine
seq_198,swine
seq_199,swine
seq_200,swine
seq_201,swine
seq_202,swine
seq_203,swine
seq_204,swine
seq_205,swine
seq_206,swine
seq_207,swine
seq_208,swine
seq_209,swine
seq_210,swine
seq_211,swine
seq_212,swine
seq_213,swine
seq_214,swine
seq_215,swine
seq_216,swine
seq_217,swine
seq_218,swine
seq_219,swine
seq_220,swine
seq_221,swine
seq_222,swine
seq_223,swine
seq_224,swine
seq_225,swine
seq_226,swine
seq_227,swine
seq_228,swine
seq_229,swine
seq_230,swine
seq_231,swine
seq_232,swine
seq_233,swine
seq_234,swine
seq_235,swine
seq_236,swine
seq_237,swine
seq_238,swine
seq_239,swine
seq_240,swine
seq_241,swine
seq_242,swine
seq_243,swine
seq_244,swine
seq_245,swine
seq_246,swine
seq_247,swine
seq_248,swine
seq_249,swine
seq_250,swine
seq_251,swine
seq_252,swine
seq_253,swine
seq_254,swine
seq_255,swine
seq_256,swine
seq_257,swine
seq_258,human
seq_259,swine
seq_260,swine
seq_261,swine
seq_262,swine
seq_263,swine
seq_264,swine
seq_265,swine
seq_266,swine
seq_267,swine
seq_268,swine
seq_269,swine
seq_270,swine
seq_271,swine
seq_272,swine
seq_273,swine
seq_274,swine
seq_275,swine
seq_276,swine
seq_277,swine
seq_278,swine
seq_279,swine
seq_280,swine
seq_281,swine
seq_282,swine
seq_283,swine
seq_284,swine
seq_285,swine
seq_286,swine
seq_287,swine
seq_288,swine
seq_289,swine
seq_290,swine
seq_291,swine
seq_292,swine
seq_293,swine
seq_294,swine
seq_295,swine
seq_296,swine
seq_297,swine
seq_298,swine
seq_299,swine
seq_300,swine
seq_301,swine
seq_302,swine
seq_303,swine
seq_304,swine
seq_305,swine
seq_306,swine
seq_307,swine
seq_308,swine
seq_309,swine
seq_310,swine
seq_311,swine
seq_312,swine
seq_313,swine
seq_314,swine
seq_315,swine
seq_316,swine
seq_317,swine
seq_318,swine
seq_319,swine
seq_320,swine
seq_321,swine
seq_322,swine
seq_323,swine
seq_324,swine
seq_325,swine
seq_326,swine
seq_327,swine
seq_328,swine
seq_329,swine
seq_330,swine
seq_331,swine
seq_332,swine
seq_333,swine
seq_334,swine
seq_335,swine
seq_336,swine
seq_337,swine
seq_338,swine
seq_339,swine
seq_340,swine
seq_341,swine
seq_342,swine
seq_343,swine
seq_344,swine
seq_345,swine
seq_346,swine
seq_347,swine
seq_348,swine
seq_349,swine
seq_350,swine
seq_351,swine
seq_352,swine
seq_353,swine
seq_354,swine
seq_355,swine
seq_356,swine
seq_357,swine
seq_358,swine
seq_359,swine
seq_360,swine
seq_361,swine
seq_362,swine
seq_363,swine
seq_364,swine
seq_365,swine
seq_366,swine
seq_367,swine
seq_368,swine
seq_369,swine
seq_370,swine
seq_371,swine
seq_372,swine
seq_373,swine
seq_374,swine
seq_375,swine
seq_376,swine
seq_377,swine
seq_378,swine
seq_379,swine
seq_380,swine
seq_381,swine
seq_382,swine
seq_383,swine
seq_384,swine
seq_385,swine
seq_386,swine
seq_387,swine
seq_388,swine
seq_389,swine
seq_390,swine
seq_391,swine
seq_392,swine
seq_393,swine
seq_394,swine
seq_395,swine
seq_396,swine
seq_397,swine
seq_398,swine
seq_399,swine
seq_400,swine
seq_401,swine
seq_402,swine
seq_403,swine
seq_404,swine
seq_405,swine
seq_406,swine
seq_407,swine
seq_408,swine
seq_409,swine
seq_410,swine
seq_411,swine
seq_412,swine
seq_413,swine
seq_414,swine
seq_415,swine
seq_416,swine
seq_417,swine
seq_418,swine
seq_419,swine
seq_420,swine
seq_421,swine
seq_422,swine
seq_423,swine
seq_424,swine
seq_425,swine
seq_426,swine
seq_427,swine
seq_428,swine
seq_429,swine
seq_430,swine
seq_431,swine
seq_432,swine
seq_433,swine
seq_434,swine
seq_435,swine
seq_436,swine
seq_437,swine
seq_438,swine
seq_439,swine
seq_440,swine
seq_441,swine
seq_442,swine
seq_443,swine
seq_444,swine
seq_445,swine
seq_446,swine
seq_447,swine
seq_448,swine
seq_449,swine
seq_450,swine
seq_451,swine
seq_452,swine
seq_453,swine
seq_454,swine
seq_455,swine
seq_456,swine
seq_457,swine
seq_458,swine
seq_459,swine
seq_460,swine
seq_461,swine
seq_462,swine
seq_463,swine
seq_464,swine
seq_465,swine
seq_466,swine
seq_467,swine
seq_468,swine
seq_469,swine
seq_470,swine
seq_471,swine
seq_472,swine
seq_473,swine
seq_474,swine
seq_475,swine
seq_476,swine
seq_477,swine
seq_478,swine
seq_479,swine
seq_480,swine
seq_481,swine
seq_482,swine
seq_483,swine
seq_484,swine
seq_485,swine
seq_486,swine
seq_487,swine
seq_488,swine
seq_489,swine
seq_490,swine
seq_491,swine
seq_492,swine
seq_493,swine
seq_494,swine
seq_495,swine
seq_496,swine
seq_497,swine
seq_498,swine
seq_499,swine
seq_500,swine
seq_501,swine
seq_502,swine
seq_503,swine
seq_504,swine
seq_505,swine
seq_506,swine
seq_507,swine
seq_508,swine
seq_509,swine
seq_510,swine
seq_511,swine
seq_512,swine
seq_513,swine
